School,Public,Location,Earn,SAT,Price,need_fraction
SUNY College of Environmental Science and Forestry,1,"Syracuse, NY",45300,1160,25800,0.65
Albany State University,1,"Albany, GA",35300,890,19800,0.78
Johns Hopkins University,NA,"Baltimore, MD",60300,NA,66100,0.43
Bryn Mawr College,0,"Bryn Mawr, PA",41000,1340,64400,0.52
Creighton University,0,"Omaha, NE",46200,1180,51300,0.53
Coe College,0,"Cedar Rapids, IA",45300,1180,51200,0.84
Seton Hill University,0,"Greensburg, PA",37900,1030,47300,0.84
University of Wisconsin-Oshkosh,1,"Oshkosh, WI",43700,1070,18600,0.36
Beloit College,0,"Beloit, WI",37900,1230,54400,0.68
SUNY College of Technology at Alfred,1,"Alfred, NY",43300,1090,24900,NA
University of Wisconsin-Eau Claire,1,"Eau Claire, WI",45600,1120,19800,0.43
South Dakota School of Mines and Technology,1,"Rapid City, SD",63600,1180,23100,0.37
Edgewood College,0,"Madison, WI",47600,1150,39800,0.75
Plymouth State University,1,"Plymouth, NH",41000,970,27900,0.41
Amherst College,1,"Amherst, MA",53400,1440,66600,0.58
Mercer University,0,"Macon, GA",47700,1180,50400,0.42
Whittier College,0,"Whittier, CA",40500,NA,58400,0.68
Eastern Mennonite University,0,"Harrisonburg, VA",37800,1000,45400,0.39
University of Puget Sound,0,"Tacoma, WA",45600,1230,60200,0.55
Indiana University-Bloomington,1,"Bloomington, IN",46600,1180,25400,0.35
California State University-San Marcos,1,"San Marcos, CA",43800,NA,25000,0.66
Ramapo College of New Jersey,1,"Mahwah, NJ",42100,1100,30600,0.3
Grand View University,0,"Des Moines, IA",39000,860,36200,0.75
Saint Vincent College,0,"Latrobe, PA",45200,1030,46100,0.47
University of San Diego,0,"San Diego, CA",50800,1220,62100,0.53
The Evergreen State College,1,"Olympia, WA",40100,NA,23700,0.55
University of Mount Union,0,"Alliance, OH",39900,1050,41500,0.78
Sacred Heart University,0,"Fairfield, CT",50000,1100,56750,0.78
Lewis & Clark College,0,"Portland, OR",42100,1280,60000,0.59
Lipscomb University,0,"Nashville, TN",40700,NA,43900,0.22
Taylor University,0,"Upland, IN",41700,1170,42500,0.59
Loyola University Maryland,0,"Baltimore, MD",51900,1180,62300,0.52
University of Kentucky,1,"Lexington, KY",46200,1120,26400,0.27
Southern Nazarene University,0,"Bethany, OK",43000,1190,34800,NA
King's College,0,"Wilkes-Barre, PA",39400,1130,49200,0.8
Winthrop University,1,"Rock Hill, SC",37800,1030,27300,0.66
University of North Texas,1,"Denton, TX",44200,1110,22100,0.42
Catholic University of America,0,"Washington, DC",50000,1120,59500,0.57
CUNY Brooklyn College,1,"Brooklyn, NY",42900,NA,26100,0.74
Oakwood University,0,"Huntsville, AL",38900,920,37200,0.88
University of California-Berkeley,1,"Berkeley, CA",60300,1360,35700,0.51
University of Mount Olive,0,"Mount Olive, NC",36100,920,29600,0.66
Merrimack College,0,"North Andover, MA",51700,1190,53300,0.71
Virginia Polytechnic Institute and State University,1,"Blacksburg, VA",55300,1220,26900,0.32
Carthage College,0,"Kenosha, WI",41500,1100,52300,0.75
Concordia College-New York,0,"Bronxville, NY",43500,920,44000,0.65
Louisiana Tech University,1,"Ruston, LA",47600,NA,19400,0.35
Florida Southern College,0,"Lakeland, FL",38900,1090,45400,0.69
Illinois Institute of Technology,0,"Chicago, IL",59000,1270,59500,0.54
Princeton University,0,"Princeton, NJ",62800,1510,61300,0.59
CUNY College of Staten Island,1,"Staten Island, NY",44000,1000,30600,0.62
Mount Saint Mary College,0,"Newburgh, NY",49500,1000,45400,0.79
Saint Anselm College,0,"Manchester, NH",50000,1150,54200,0.72
Maryville University of Saint Louis,0,"Saint Louis, MO",43000,1100,46300,0.67
Southeast Missouri State University,1,"Cape Girardeau, MO",38400,NA,20600,0.54
Loras College,0,"Dubuque, IA",40200,980,41800,0.73
North Carolina State University at Raleigh,1,"Raleigh, NC",51100,1230,23900,0.46
College of Our Lady of the Elms,0,"Chicopee, MA",49700,930,47900,0.85
Arizona State University,1,"Tempe, AZ",48900,1150,25600,0.54
Hollins University,0,"Roanoke, VA",34600,1100,51400,0.8
University of Wisconsin-River Falls,1,"River Falls, WI",39600,1150,18700,0.36
Manhattan College,0,"Riverdale, NY",58000,1080,56300,0.67
Old Dominion University,1,"Norfolk, VA",43800,1030,24000,0.49
Texas Christian University,0,"Fort Worth, TX",47400,1180,55900,0.35
University of St. Thomas,0,"Saint Paul, MN",47600,1160,51600,0.56
University of Houston,1,"Houston, TX",51500,1140,24000,0.5
Saint Marys College of California,0,"Moraga, CA",51100,NA,61700,0.68
California State University-San Bernardino,1,"San Bernardino, CA",42100,900,21200,0.78
Montclair State University,1,"Montclair, NJ",43700,970,29500,0.36
University of North Carolina School of the Arts,1,"Winston-Salem, NC",54800,NA,23100,0.56
University of Nevada-Reno,1,"Reno, NV",48300,1080,23500,0.41
Rice University,0,"Houston, TX",63700,NA,58600,0.39
Bowling Green State University-Main Campus,1,"Bowling Green, OH",41600,1010,25200,0.55
Valparaiso University,0,"Valparaiso, IN",47700,1110,49700,0.73
Southwestern University,0,"Georgetown, TX",48100,1170,51100,0.63
Illinois College,0,"Jacksonville, IL",38900,NA,42400,0.84
University of Illinois at Chicago,1,"Chicago, IL",51000,1120,30700,0.61
Toccoa Falls College,0,"Toccoa Falls, GA",32400,1030,34100,0.77
Clarkson University,0,"Potsdam, NY",61700,1190,62300,0.84
Colgate University,0,"Hamilton, NY",55800,1370,64900,0.34
Colorado State University-Fort Collins,1,"Fort Collins, CO",46200,1140,24500,0.34
Framingham State University,1,"Framingham, MA",42500,1040,24100,0.51
Bloomsburg University of Pennsylvania,1,"Bloomsburg, PA",43700,990,23500,0.41
Saint Mary's University of Minnesota,0,"Winona, MN",45300,1030,42700,0.73
Loyola University New Orleans,0,"New Orleans, LA",39400,1140,54500,0.68
Converse College,0,"Spartanburg, SC",34700,1060,31100,0.79
Montana State University,1,"Bozeman, MT",48800,1140,20600,0.39
University of La Verne,0,"La Verne, CA",43100,NA,56000,0.72
University of California-Santa Cruz,1,"Santa Cruz, CA",49600,1100,35600,0.67
Marian University-Fond Du Lac,0,"Fond Du Lac, WI",43700,1070,38100,0.89
Presbyterian College,0,"Clinton, SC",39500,NA,49800,0.79
Seattle Pacific University,0,"Seattle, WA",44900,1140,51600,0.71
Whitworth University,0,"Spokane, WA",42900,1280,52400,0.69
Bennett College,0,"Greensboro, NC",39601,980,32300,0.91
Westminster College-Salt Lake City,0,"Salt Lake City, UT",45400,1110,45000,0.58
Vanderbilt University,0,"Nashville, TN",58300,1490,64800,0.45
Indiana University of Pennsylvania-Main Campus,1,"Indiana, PA",41800,980,25100,0.45
Mississippi State University,1,"Mississippi State, MS",46100,1110,23500,0.54
Northeastern University,0,"Boston, MA",55600,1390,62700,0.37
University of Delaware,1,"Newark, DE",50700,NA,27300,0.41
Macalester College,0,"Saint Paul, MN",42600,1340,62200,0.69
Wofford College,NA,"Spartanburg, SC",45900,NA,53600,0.62
Asbury University,0,"Wilmore, KY",33600,1120,38000,0.78
University of Rhode Island,1,"Kingston, RI",48600,1070,28600,0.67
Millsaps College,0,"Jackson, MS",40000,1130,50600,0.6
University of Missouri-Columbia,1,"Columbia, MO",44100,1170,24600,0.39
SUNY College of Agriculture and Technology at Cobleskill,1,"Cobleskill, NY",34400,990,24200,0.75
Webster University,0,"Saint Louis, MO",39500,NA,43300,0.66
Barnard College,0,"New York, NY",48500,1340,65800,0.4
Elon University,0,"Elon, NC",45100,1220,47200,0.3
Babson College,0,"Wellesley, MA",60000,1260,65000,0.4
Nebraska Wesleyan University,0,"Lincoln, NE",41900,1100,42600,0.7
Mayville State University,1,"Mayville, ND",36700,1190,17700,0.52
Point Loma Nazarene University,0,"San Diego, CA",43800,1150,47800,0.64
Hendrix College,0,"Conway, AR",37100,1200,56500,0.61
Roger Williams University,0,"Bristol, RI",47900,1200,52000,0.4
California University of Pennsylvania,1,"California, PA",39400,980,26100,0.57
Assumption College,0,"Worcester, MA",49600,1230,51900,0.77
Gannon University,0,"Erie, PA",43600,1040,44700,0.78
Tufts University,0,"Medford, MA",55000,1450,66000,0.37
La Salle University,0,"Philadelphia, PA",47000,990,56600,0.8
Northern Michigan University,1,"Marquette, MI",40300,NA,21700,0.41
Simmons College,0,"Boston, MA",48900,1150,56000,0.77
Wabash College,0,"Crawfordsville, IN",52400,1240,51400,0.78
Waynesburg University,1,"Waynesburg, PA",45200,1000,33900,0.82
Florida International University,1,"Miami, FL",43100,1150,24000,0.54
Manhattanville College,0,"Purchase, NY",45400,1080,55200,0.55
CUNY Bernard M Baruch College,1,"New York, NY",50700,NA,29700,0.46
Transylvania University,0,"Lexington, KY",37100,1160,47600,0.67
University of Louisville,1,"Louisville, KY",44000,1090,25300,0.55
Graceland University-Lamoni,0,"Lamoni, IA",47300,910,38600,0.76
Bay Path College,0,"Longmeadow, MA",40700,970,47500,0.91
CUNY Queens College,1,"Flushing, NY",44200,1100,27300,0.56
Lycoming College,0,"Williamsport, PA",42000,1040,50100,0.82
Western New England University,0,"Springfield, MA",53500,NA,51500,0.8
Bates College,0,"Lewiston, ME",46700,1310,65300,0.44
Temple University,1,"Philadelphia, PA",45200,1120,31900,0.61
Longwood University,1,"Farmville, VA",39600,1010,25500,0.4
Illinois Wesleyan University,0,"Bloomington, IL",46400,1220,54800,0.64
Northern Arizona University,1,"Flagstaff, AZ",43900,1050,25800,0.44
Biola University,0,"La Mirada, CA",42100,1120,50100,0.67
The University of Texas at Dallas,1,"Richardson, TX",50600,1260,26100,0.48
National University,1,"La Jolla, CA",49200,1250,29000,0.19
University of Massachusetts Amherst,NA,"Amherst, MA",49400,1210,27900,0.51
Colorado School of Mines,1,"Golden, CO",65600,1300,32700,0.27
Bethel University,0,"Saint Paul, MN",43800,1140,47700,0.74
Tennessee State University,1,"Nashville, TN",44300,1020,19800,0.68
Siena College,0,"Loudonville, NY",46700,1120,50800,0.73
Messiah College,0,"Mechanicsburg, PA",44900,1150,46000,0.71
John Brown University,0,"Siloam Springs, AR",39500,1140,37100,0.65
Washington College,0,"Chestertown, MD",45900,NA,58600,0.58
Wells College,0,"Aurora, NY",44200,NA,53100,0.87
California State University-Fresno,1,"Fresno, CA",44800,930,21800,0.65
Connecticut College,0,"New London, CT",45400,1420,65400,0.49
Sonoma State University,1,"Rohnert Park, CA",45800,1010,24600,0.35
Philadelphia University,0,"Philadelphia, PA",44300,1060,53500,0.78
Hiram College,0,"Hiram, OH",38100,1030,45100,0.78
Pepperdine University,0,"Malibu, CA",48100,1240,66000,0.54
Loyola Marymount University,0,"Los Angeles, CA",50400,NA,61200,0.55
Missouri State University-Springfield,1,"Springfield, MO",39700,1090,20600,0.52
Minneapolis College of Art and Design,0,"Minneapolis, MN",39400,1100,47000,0.78
Vanguard University of Southern California,0,"Costa Mesa, CA",41600,950,45700,0.53
Florida State University,1,"Tallahassee, FL",42600,1200,22500,0.35
Martin Luther College,0,"New Ulm, MN",33200,NA,24100,0.76
Mercyhurst University,0,"Erie, PA",40200,1050,48400,0.7
William Paterson University of New Jersey,1,"Wayne, NJ",41200,NA,29000,0.49
Pace University-New York,0,"New York, NY",52200,1040,60800,0.71
Whitman College,0,"Walla Walla, WA",43500,NA,60600,0.46
George Fox University,0,"Newberg, OR",46600,NA,46500,0.64
Massachusetts Institute of Technology,0,"Cambridge, MA",74800,1500,63500,0.56
East Carolina University,1,"Greenville, NC",42000,NA,22000,0.46
Minnesota State University-Mankato,1,"Mankato, MN",45000,1110,19600,0.39
Scripps College,0,"Claremont, CA",46600,NA,66300,0.43
Azusa Pacific University,0,"Azusa, CA",41600,1100,48900,0.65
Grinnell College,0,"Grinnell, IA",41300,1380,61700,0.7
Luther College,0,"Decorah, IA",42300,1090,51800,0.69
Utah State University,1,"Logan, UT",47800,1110,18800,0.57
Kalamazoo College,0,"Kalamazoo, MI",39400,NA,54800,0.66
University of Maryland-College Park,1,"College Park, MD",54500,1310,25300,0.35
University of San Francisco,0,"San Francisco, CA",51100,1170,62600,0.49
Wesleyan University,0,"Middletown, CT",47000,1390,66800,0.44
Northwest Missouri State University,1,"Maryville, MO",40600,1050,18500,0.55
Ringling College of Art and Design,0,"Sarasota, FL",41600,1200,61100,0.59
Washington & Jefferson College,0,"Washington, PA",42100,1280,55800,0.68
James Madison University,1,"Harrisonburg, VA",49300,1150,25000,0.18
University of Vermont,1,"Burlington, VT",45400,1190,30900,0.56
Hanover College,0,"Hanover, IN",42100,1100,47600,0.76
The University of Montana Western,1,"Dillon, MT",33000,1220,16700,NA
Roanoke College,0,"Salem, VA",41300,1090,55500,0.72
Cornell University,0,"Ithaca, NY",60700,NA,66200,0.46
Sewanee-The University of the South,0,"Sewanee, TN",36400,1230,51700,0.48
Drury University,0,"Springfield, MO",37600,1150,37700,0.61
Union University,0,"Jackson, TN",42900,1230,47700,0.54
Samford University,0,"Birmingham, AL",42000,1130,44000,0.41
Fairfield University,0,"Fairfield, CT",54000,1280,62300,0.43
Lafayette College,0,"Easton, PA",57800,1280,64400,0.36
Art Center College of Design,0,"Pasadena, CA",62000,1210,64400,NA
SUNY College at Potsdam,1,"Potsdam, NY",36400,1120,22700,0.65
Wheaton College-Norton,0,"Norton, MA",42900,1270,62700,0.64
University of Oregon,1,"Eugene, OR",44100,1110,25400,0.33
The Richard Stockton College of New Jersey,NA,"Galloway, NJ",40500,1080,29600,0.41
Truman State University,1,"Kirksville, MO",40600,1210,21200,0.5
Pittsburg State University,1,"Pittsburg, KS",41100,NA,18600,0.43
Albertus Magnus College,0,"New Haven, CT",48000,830,50600,0.77
University of North Carolina at Asheville,1,"Asheville, NC",35700,1200,20700,0.53
High Point University,0,"High Point, NC",41000,NA,48600,NA
Albion College,0,"Albion, MI",45600,1100,51700,0.73
University of Valley Forge,0,"Phoenixville, PA",34300,970,33700,0.85
University of Massachusetts-Lowell,1,"Lowell, MA",52000,1130,27400,0.55
Hampton University,0,"Hampton, VA",42300,1010,36800,0.21
California Baptist University,0,"Riverside, CA",40400,980,45100,0.58
Drake University,0,"Des Moines, IA",44700,NA,48200,0.58
Wellesley College,0,"Wellesley, MA",49000,1410,63600,0.62
University of Chicago,0,"Chicago, IL",52700,1520,70300,0.45
SUNY College at Plattsburgh,1,"Plattsburgh, NY",39100,1030,22900,0.54
Concordia University-Wisconsin,0,"Mequon, WI",42700,1030,41500,0.75
University of Nebraska-Lincoln,1,"Lincoln, NE",44200,1170,23700,0.35
Augsburg College,0,"Minneapolis, MN",46500,1100,49100,0.63
Pennsylvania College of Technology,1,"Williamsport, PA",49800,1200,31900,0.67
Saint Joseph's College of Maine,0,"Standish, ME",47200,960,48600,NA
SUNY College at Geneseo,1,"Geneseo, NY",41300,1290,23700,0.39
Ripon College,0,"Ripon, WI",41100,1160,46700,0.81
University of Illinois at Springfield,1,"Springfield, IL",40000,1100,25900,0.62
Ohio State University-Main Campus,1,"Columbus, OH",50100,1270,26800,0.4
University of Florida,1,"Gainesville, FL",49700,1270,21400,0.34
Concordia University-Chicago,NA,"River Forest, IL",38600,NA,41900,0.83
Harvard University,0,"Cambridge, MA",62900,1510,64800,0.58
Wartburg College,0,"Waverly, IA",41600,980,49400,0.75
Hofstra University,0,"Hempstead, NY",47400,1170,58300,0.64
California State University-Long Beach,1,"Long Beach, CA",44500,1020,23600,0.61
Lebanon Valley College,0,"Annville, PA",43100,NA,53000,0.84
Loyola University Chicago,0,"Chicago, IL",44600,1160,55500,0.66
University of Evansville,0,"Evansville, IN",47000,1110,47800,0.64
University of Wisconsin-Stout,1,"Menomonie, WI",47400,1150,19800,0.33
The University of Texas at Austin,1,"Austin, TX",53000,NA,27400,0.35
Carnegie Mellon University,0,"Pittsburgh, PA",67100,1440,66400,0.44
Pitzer College,0,"Claremont, CA",48700,1520,66300,0.34
Georgetown University,NA,"Washington, DC",52900,1410,67100,0.35
Oberlin College,0,"Oberlin, OH",43300,NA,67000,0.48
Hood College,0,"Frederick, MD",38200,1040,51900,0.83
Louisiana State University and Agricultural & Mechanical College,1,"Baton Rouge, LA",47700,NA,25100,0.38
Butler University,0,"Indianapolis, IN",45400,1170,53100,0.62
Franklin College-Franklin,0,"Franklin, IN",42000,1010,42400,0.84
Ohio Wesleyan University,0,"Delaware, OH",43700,1120,60000,0.7
Tennessee Technological University,1,"Cookeville, TN",51400,1090,25100,0.41
Stanford University,0,"Stanford, CA",68600,1480,65300,0.48
Saint John Fisher College,0,"Rochester, NY",40400,1080,45000,0.81
Cedarville University,0,"Cedarville, OH",44900,NA,36900,0.59
St Mary's University,NA,"San Antonio, TX",43100,1050,41100,0.77
East Stroudsburg University of Pennsylvania,1,"East Stroudsburg, PA",40500,950,22500,0.44
Marietta College,0,"Marietta, OH",47000,1070,48000,0.7
Gallaudet University,0,"Washington, DC",39100,810,35700,0.86
University of California-San Diego,1,"La Jolla, CA",53700,1280,32500,0.58
Virginia Military Institute,1,"Lexington, VA",56400,1150,28100,0.43
Marist College,0,"Poughkeepsie, NY",47000,1370,51800,0.42
Hampshire College,0,"Amherst, MA",40600,1260,64500,0.58
University of Northern Iowa,1,"Cedar Falls, IA",42400,1150,21000,0.36
St Lawrence University,0,"Canton, NY",49800,1330,64100,0.55
Cedar Crest College,0,"Allentown, PA",44700,950,48700,0.92
Millersville University of Pennsylvania,1,"Millersville, PA",41300,1020,26200,0.47
Massachusetts College of Liberal Arts,1,"North Adams, MA",37600,1030,23000,0.6
Hamilton College,0,"Clinton, NY",54800,1390,64300,0.47
Texas Tech University,1,"Lubbock, TX",51600,NA,23300,0.43
Franklin and Marshall College,0,"Lancaster, PA",45200,1450,65800,0.5
Austin College,0,"Sherman, TX",40200,1220,49900,0.65
University of Miami,0,"Coral Gables, FL",49900,1330,65400,0.41
San Diego State University,1,"San Diego, CA",47400,1090,27200,0.43
Bentley University,NA,"Waltham, MA",58400,1230,61200,0.44
Keene State College,1,"Keene, NH",43100,980,26000,0.43
Oklahoma State University-Main Campus,1,"Stillwater, OK",46500,1120,22600,0.4
University of Wisconsin-La Crosse,1,"La Crosse, WI",42500,1220,18800,0.25
Drexel University,0,"Philadelphia, PA",56500,1190,70400,0.54
The University of Tennessee,1,"Knoxville, TN",45700,1170,30600,0.53
Spelman College,0,"Atlanta, GA",45200,1020,45500,0.7
Meredith College,0,"Raleigh, NC",36800,1040,46100,0.75
Washington State University,1,"Pullman, WA",49200,1030,29300,0.49
Hope College,0,"Holland, MI",41600,1200,42900,0.51
Michigan State University,1,"East Lansing, MI",49600,1120,26400,0.34
Christopher Newport University,1,"Newport News, VA",44100,1160,27700,0.3
University of Washington-Seattle Campus,1,"Seattle, WA",54000,1230,27800,0.37
Alma College,0,"Alma, MI",42000,1060,48200,0.83
University of Dayton,0,"Dayton, OH",51700,1130,53400,0.51
Western Michigan University,1,"Kalamazoo, MI",44900,NA,23800,0.42
Springfield College,0,"Springfield, MA",35000,1030,49600,0.82
Texas A & M University-Commerce,NA,"Commerce, TX",40900,990,19000,0.68
Stony Brook University,NA,"Stony Brook, NY",49800,1250,23800,0.49
Grace College and Theological Seminary,0,"Winona Lake, IN",33800,1030,36300,0.93
Winston-Salem State University,1,"Winston-Salem, NC",43500,900,18200,0.75
Occidental College,0,"Los Angeles, CA",47700,1310,67400,0.49
Carroll University,0,"Waukesha, WI",38600,1190,43300,0.82
Martin Methodist College,0,"Pulaski, TN",30800,1200,35900,0.54
Shippensburg University of Pennsylvania,1,"Shippensburg, PA",42100,990,25900,0.48
University of Pennsylvania,0,"Philadelphia, PA",60700,1450,66800,0.47
Clarke University,0,"Dubuque, IA",39500,1010,43800,0.86
The University of Alabama,1,"Tuscaloosa, AL",45300,1130,28300,0.31
Pratt Institute-Main,0,"Brooklyn, NY",46400,1140,63200,0.78
Wheaton College,0,"Wheaton, IL",44100,1320,45500,0.52
New Jersey Institute of Technology,1,"Newark, NJ",55700,1140,35000,0.6
Southern Connecticut State University,1,"New Haven, CT",43900,920,24400,0.48
Columbus College of Art and Design,0,"Columbus, OH",40800,1050,44400,0.79
